company,average_followers_HIREABLE,average_public_repos_HIREABLE,count_HIREABLE
APPLE,74.0,46.0,2.0
BENETICS AG,480.0,22.0,1.0
BILDSPUR,370.0,232.0,1.0
BIT256,110.0,288.0,1.0
BLOWFISHXYZ,80.0,82.0,1.0
CERRION,180.0,19.0,1.0
CHILLICREAM,160.0,13.0,1.0
CLOUDREACH,72.0,57.0,1.0
CODERFIT.COM,71.0,31.0,1.0
CREADI,144.0,593.0,1.0
"CVL, ETH ZURICH",331.0,30.0,1.0
DAEDALEANAI,53.0,124.0,1.0
DISNEY RESEARCH,68.0,151.0,1.0
DOCKER-CAPTAINS,655.0,105.0,1.0
EDGE IMPULSE,184.0,67.0,1.0
ETH ZURICH,178.5,52.166666666666664,6.0
ETH ZÜRICH,52.0,80.0,1.0
ETHZ,158.0,65.0,3.0
FENERUM,117.0,115.0,1.0
FREELANCE,159.0,139.0,1.0
GEORGE MASON UNIVERSITY,180.0,34.0,1.0
GETYOURGUIDE,98.0,60.0,1.0
GOOGLE,236.15384615384616,83.07692307692308,13.0
GOOGLE DEEPMIND,71.0,38.0,1.0
GOOGLE INC,268.0,88.0,1.0
"GOOGLE, ETH ZURICH",191.0,35.0,1.0
"INSTITUTE OF NEUROINFORMATICS, UZH / ETH ZURICH",119.0,81.0,1.0
INTERFACE21-IO,180.0,62.0,1.0
JULIUS BÄR,1191.0,28.0,1.0
LAKERA AI,52.0,136.0,1.0
"MACHINE LEARNING, @OGMENTAI",117.0,189.0,1.0
MICROSOFT,462.0,56.5,2.0
NATURLTECHNOLOGIES,52.0,37.0,1.0
"NETCETERA.COM, IPHONSO.COM",57.0,47.0,1.0
ORACLE @GRAALVM,67.0,36.0,1.0
PANKOTSIAS.COM,122.0,14.0,1.0
PONTE-ENERGY-PARTNERS,135.0,209.0,1.0
RAFAEL KALLIS CONSULTING,64.0,73.0,1.0
RBI,77.0,82.0,1.0
RENUO,810.0,93.0,1.0
SIEMENS,89.0,91.0,1.0
SMARTCOMPUTER-AI,72.0,19.0,1.0
STRAYROBOTS,61.0,59.0,1.0
"UNIVERSITY OF ZURICH, ETH ZURICH",58.0,82.0,1.0
VALORA-DIGITAL,101.5,43.0,2.0
W3F,263.0,73.0,1.0
ZATTOO,71.0,79.0,1.0
‍,72.0,134.0,1.0
恋の织景,68.0,275.0,1.0
